scRNA_guide_name,count_D0_original,count_D0_repA,count_D0_repB,count_D7_original,scRNA_count,count_D0_mean,is_NC,target_gene,category_D7,category_scRNA
ANKRD1_+_92680828.23-P1P2-2,77.02001493454766,43.051085200445854,46.74223488599472,49.481401920274244,58.81965256719437,44.89666004322029,False,ANKRD1,none,none
ANKRD30A_-_37414610.23-P1P2-1,0.0,20.8732534305192,19.275148406595765,23.091320896127982,11.338728205724214,20.07420091855748,False,ANKRD30A,none,none
ANKRD30A_-_37414610.23-P1P2-2,55.014296381819754,37.83277184281605,33.731509711542586,80.81962313644793,26.22080897573725,35.78214077717932,False,ANKRD30A,none,none
ANKRD30A_+_37414713.23-P1P2-1,3.6676197587879837,10.4366267152596,9.637574203297882,89.06652345649364,26.22080897573725,10.03710045927874,False,ANKRD30A,none,none
ANKRD30A_+_37414713.23-P1P2-2,0.0,18.2640967517043,13.251664529534587,0.0,24.803467950021723,15.757880640619444,False,ANKRD30A,none,none
ANKRD30A_+_37414734.23-P1P2-1,117.36383228121548,121.32578556489285,78.30529040179529,135.2491652487496,221.1052000116222,99.81553798334407,False,ANKRD30A,none,none
ANKRD30A_+_37414734.23-P1P2-2,234.72766456243096,152.63566571067165,152.9964904773539,280.39461088155406,242.3653153973551,152.81607809401277,False,ANKRD30A,none,none
ANKZF1_+_220094583.23-P1P2-1,25.673338311515888,73.0563870068172,112.03680011333788,51.13078198428338,123.30866923725083,92.54659356007754,False,ANKZF1,none,none
ANKZF1_+_220094583.23-P1P2-2,25.673338311515888,56.09686859452035,48.18787101648941,52.78016204829253,70.86705128577636,52.142369805504885,False,ANKZF1,none,none
ANKZF1_+_220094599.23-P1P2-1,77.02001493454766,37.83277184281605,34.936206486954816,44.53326172824682,23.386126924306193,36.38448916488544,False,ANKZF1,none,none
ANKZF1_+_220094599.23-P1P2-2,0.0,61.315181952150155,63.848929096848465,97.31342377653935,21.968785898590667,62.58205552449931,False,ANKZF1,none,none
ANKZF1_+_220094610.23-P1P2-1,66.01715565818371,23.482410109334104,59.03014199519952,37.93574147221025,61.65433461862541,41.25627605226681,False,ANKZF1,none,none
ANKZF1_+_220094610.23-P1P2-2,44.011437105455805,19.568675091111754,33.731509711542586,69.27396268838393,43.937571797181334,26.65009240132717,False,ANKZF1,none,none
APITD1-CORT_-_10490820.23-P1P2-1,542.8077243006217,213.95084766282181,203.59375504466774,278.74523081754495,0.0,208.77230135374478,False,APITD1-CORT,none,deplete
APITD1-CORT_-_10490820.23-P1P2-2,121.03145204000347,86.10217040089171,102.39922591003999,163.28862633690503,0.0,94.25069815546584,False,APITD1-CORT,none,deplete
APITD1-CORT_-_10490853.23-P1P2-1,77.02001493454766,62.619760291557604,53.00665811813835,69.27396268838393,0.0,57.81320920484798,False,APITD1-CORT,none,deplete
APITD1-CORT_-_10490853.23-P1P2-2,99.02573348727556,260.91566788149004,250.57692928574488,199.57498774510614,0.0,255.74629858361746,False,APITD1-CORT,none,deplete
APITD1-CORT_+_10491041.23-P1P2-1,40.34381734666782,39.13735018222351,87.94286460509318,62.67644243234737,0.0,63.540107393658346,False,APITD1-CORT,none,deplete
APITD1-CORT_+_10491041.23-P1P2-2,247.19757174231012,103.06168881318855,138.54012917240706,120.40474467266733,0.0,120.80090899279782,False,APITD1-CORT,none,deplete
ARGFX_-_121286824.23-P1P2-1,40.34381734666782,52.444049244179496,50.59726456731387,13.195040512073133,55.27630000290555,51.520656905746684,False,ARGFX,none,none
ARGFX_-_121286824.23-P1P2-2,66.01715565818371,44.3556635398533,44.5737806902527,39.5851215362194,82.91445000435832,44.464722115053,False,ARGFX,none,none
ARGFX_-_121286898.23-P1P2-1,0.0,49.5739768974831,75.89589685097081,56.07892217631081,26.22080897573725,62.73493687422696,False,ARGFX,none,none
ARGFX_-_121286898.23-P1P2-2,91.69049396969959,80.8838570432619,98.78513558380328,82.46900320045707,108.4265884672378,89.83449631353258,False,ARGFX,none,none
ARGFX_-_121287052.23-P1P2-1,58.68191614060774,40.44192852163095,59.03014199519952,49.481401920274244,97.79653077437135,49.736035258415235,False,ARGFX,none,none
ARGFX_-_121287052.23-P1P2-2,91.69049396969959,80.8838570432619,79.50998717720752,102.26156396856676,95.67051923579807,80.19692211023471,False,ARGFX,none,none
ARHGAP35_-_47421941.23-ENST00000404338.3-1,44.011437105455805,39.13735018222351,28.912722609893645,67.6245826243748,51.02427692575897,34.025036396058574,False,ARHGAP35,none,none
