,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
349,Element1131,0.0,0.0,IKZF1,0.0,-inf
350,Element1132,0.11892871,0.0,IKZF1,0.9784315,-0.9247133
351,Element1133,0.0,0.0,IKZF1,0.0,-inf
352,OR10H2,0.3074327,0.0,IKZF1,2.5292618,-0.51224995
353,OR10K1,0.47800368,0.0,IKZF1,3.9325564,-0.32056877
354,OR10V1,0.0,0.0,IKZF1,0.0,-inf
355,OR14J1,0.0,0.0,IKZF1,0.0,-inf
356,OR2A2,0.771316,0.0,IKZF1,6.3456492,-0.11276767
357,IKZF1_P1P2,0.0,0.0,IKZF1,0.0,-inf
358,non-targeting,42.81651,0.0,ISL1,1.0,1.6316113
359,Element989,32.416428,0.0,ISL1,0.7571011,1.5107652
360,Element990,37.006878,0.0,ISL1,0.8643133,1.5682826
361,Element991,43.886604,0.0,ISL1,1.0249926,1.6423321
362,OR10H2,40.57273,0.0,ISL1,0.9475955,1.6082343
363,OR10K1,49.196716,0.0,ISL1,1.1490128,1.6919361
364,OR10V1,37.758568,0.0,ISL1,0.8818694,1.5770156
365,OR14J1,44.321598,0.0,ISL1,1.0351521,1.6466155
366,OR2A2,37.52057,0.0,ISL1,0.87631077,1.5742695
367,ISL1_P1,29.936716,0.0,ISL1,0.69918627,1.4762043
368,non-targeting,180.29588,0.0,JAG1,1.0,2.255986
369,Element826,186.91904,0.0,JAG1,1.0367349,2.2716537
370,Element827,177.87929,0.0,JAG1,0.9865965,2.2501256
371,Element828,159.2303,0.0,JAG1,0.88316107,2.202026
372,Element829,150.58192,0.0,JAG1,0.83519334,2.177773
373,Element830,176.13814,0.0,JAG1,0.9769393,2.2458537
374,OR10H2,165.09273,0.0,JAG1,0.91567665,2.2177281
375,OR10K1,189.98352,0.0,JAG1,1.0537319,2.278716
376,OR10V1,174.01674,0.0,JAG1,0.9651731,2.2405913
377,OR14J1,179.08574,0.0,JAG1,0.99328804,2.2530613
378,OR2A2,184.89914,0.0,JAG1,1.0255316,2.266935
379,JAG1_P1P2,50.343803,0.0,JAG1,0.2792288,1.701946
380,non-targeting,34.01162,0.0,KAT7,1.0,1.5316274
381,Element623,27.66047,0.0,KAT7,0.81326526,1.4418596
382,Element624,38.090454,0.0,KAT7,1.1199248,1.5808163
383,Element625,28.598719,0.0,KAT7,0.8408514,1.4563466
384,Element626,37.276337,0.0,KAT7,1.0959883,1.5714333
385,Element627,37.317707,0.0,KAT7,1.0972047,1.571915
386,Element628,29.162706,0.0,KAT7,0.8574336,1.4648279
387,Element629,30.17086,0.0,KAT7,0.88707507,1.4795878
388,Element630,24.296385,0.0,KAT7,0.7143554,1.3855418
389,Element631,36.89391,0.0,KAT7,1.0847442,1.5669547
390,Element632,29.331633,0.0,KAT7,0.86240035,1.4673363
391,OR10H2,32.58514,0.0,KAT7,0.9580591,1.5130197
392,OR10K1,30.25734,0.0,KAT7,0.88961774,1.4808308
393,OR10V1,36.467945,0.0,KAT7,1.0722202,1.5619113
394,OR14J1,32.907482,0.0,KAT7,0.96753645,1.5172948
395,OR2A2,35.510918,0.0,KAT7,1.0440819,1.550362
396,KAT7_P1P2,13.2949095,0.0,KAT7,0.39089316,1.1236855
397,non-targeting,250.88666,0.0,KDM5B,1.0,2.3994777
398,Element68,208.50398,0.0,KDM5B,0.83106846,2.3191144
399,Element69,199.4977,0.0,KDM5B,0.7951706,2.299938
400,Element70,241.2296,0.0,KDM5B,0.9615083,2.3824308
401,Element71,247.7741,0.0,KDM5B,0.98759377,2.394056
402,Element72,242.86443,0.0,KDM5B,0.9680245,2.385364
403,Element73,243.463,0.0,KDM5B,0.9704103,2.3864331
404,OR10H2,253.88255,0.0,KDM5B,1.0119412,2.404633
405,OR10K1,253.71169,0.0,KDM5B,1.0112602,2.4043405
406,OR10V1,255.24347,0.0,KDM5B,1.0173657,2.4069548
407,OR14J1,251.8649,0.0,KDM5B,1.0038991,2.4011679
408,OR2A2,247.64485,0.0,KDM5B,0.9870786,2.3938293
409,KDM5B_P1P2,84.157295,0.0,KDM5B,0.3354395,1.9250917
410,non-targeting,117.38408,0.0,KLF12,1.0,2.0696094
