,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
94,CHD7_P1P2,OR2A2,19.4857177734375,-1,5.0,-1.0,14.960113525390623,-1.0,3986,1.3025113573079459,ACVR2B,normal,85.51017,1.0940408,True
95,CNBP_P1P2,Element919,6.8946533203125,95798,5.0,0.1021201019731442,7.59559326171875,1.149871826171875,3265,0.9077175518416793,CNBP,normal,361.80344,0.97801137,False
96,CNBP_P1P2,Element920,8.817138671875,93273,5.0,0.4324913523012016,7.59559326171875,1.530279541015625,4067,1.160822909819665,CNBP,normal,369.02002,0.9975189,False
97,CNBP_P1P2,Element921,17.819091796875,62958,5.0,4.221848749616356,7.59559326171875,8.424481201171876,3594,2.3459776192443,CNBP,normal,350.37646,0.94712245,False
98,CNBP_P1P2,Element922,13.6444091796875,61884,5.0,1.6653452331167586,7.59559326171875,3.469970703125,4116,1.796358587084218,CNBP,normal,374.12598,1.0113211,False
99,CNBP_P1P2,Element923,7.224853515625,56197,5.0,0.4627351412454563,7.59559326171875,1.8078125,3555,0.9511901528532009,CNBP,normal,343.0668,0.92736334,False
100,CNBP_P1P2,Element924,11.3575439453125,22418,5.0,0.7362219509773783,7.59559326171875,2.452618408203125,3535,1.4952806915759582,CNBP,normal,369.49442,0.9988013,False
101,CNBP_P1P2,Element925,3.29736328125,91,5.0,3.1804560644581312,7.59559326171875,5.04827880859375,5258,0.43411530444481233,CNBP,normal,132.64426,0.3585582,False
102,CNBP_P1P2,Element926,22.521484375,65641,5.0,5.0,7.59559326171875,15.18173828125,2909,2.965072457013553,CNBP,normal,369.51508,0.99885714,False
103,CNBP_P1P2,Element927,13.7286376953125,94859,5.0,2.6655462488490693,7.59559326171875,5.107537841796875,3985,1.8074477163625728,CNBP,normal,358.54556,0.96920484,False
104,CNBP_P1P2,Element928,14.08642578125,95710,5.0,2.583359492661719,7.59559326171875,5.637176513671875,3496,1.8545524089928018,CNBP,normal,364.71472,0.98588103,False
105,CNBP_P1P2,Element929,5.3046875,121882,5.0,0.3766886719644104,7.59559326171875,1.49285888671875,4006,0.6983901477104163,CNBP,normal,363.55237,0.982739,False
106,CNBP_P1P2,Element930,12.4832763671875,131112,5.0,2.0083309926200514,7.59559326171875,4.09644775390625,3888,1.6434893150614482,CNBP,normal,352.32758,0.95239663,False
107,CNBP_P1P2,Element931,15.967529296875,132614,5.0,2.2034256667895704,7.59559326171875,4.743939208984375,3463,2.102209629542726,CNBP,normal,369.0277,0.9975397,False
108,CNBP_P1P2,OR10H2,8.6881103515625,-1,5.0,-1.0,7.59559326171875,-1.0,3160,1.1438356494613737,ACVR2B,normal,76.72568,0.9816495,True
109,CNBP_P1P2,OR10K1,6.820068359375,-1,5.0,-1.0,7.59559326171875,-1.0,2996,0.8978980475096869,ACVR2B,normal,79.90196,1.0222877,True
110,CNBP_P1P2,OR10V1,6.8209228515625,-1,5.0,-1.0,7.59559326171875,-1.0,2925,0.8980105459226557,ACVR2B,normal,80.799446,1.0337704,True
111,CNBP_P1P2,OR14J1,10.2017822265625,-1,5.0,-1.0,7.59559326171875,-1.0,3139,1.3431185524347067,ACVR2B,normal,66.79433,0.85458505,True
112,CNBP_P1P2,OR2A2,8.96826171875,-1,5.0,-1.0,7.59559326171875,-1.0,3189,1.180719057713293,ACVR2B,normal,85.51017,1.0940408,True
113,CREBBP_P1P2,Element468,7.741455078125,5847,5.0,0.2329480800784826,10.174102783203123,1.1999755859375,3358,0.7608980608005761,CREBBP,normal,85.02282,0.9277003,False
114,CREBBP_P1P2,Element469,6.8577880859375,18105,5.0,1.638083381331357,10.174102783203123,4.876788330078125,2427,0.6740435232538957,CREBBP,normal,88.60325,0.966767,False
