,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
PITX2,48.0,-0.3331703724826165,0.6272423416376114,169980.49293670413,0.00036161915864084767,-41.34596192925548,11.20194084977041,16851.909633459272,383733216061.574,4.391569175693982e-08
PLAGL2,31.0,-0.5023914108899561,0.7712825462222099,102597.34316356223,0.00039790620244489934,-31.00384803559165,4.614284444392841,3922.483308514049,51486869710.1154,7.618414812550578e-08
RAD21,5.0,-0.8203245768585168,0.4795267730951309,469.1192268594707,0.14524769828110204,-77.71966574994858,-3.781517837141852,666.3476238983233,476182.31277121516,0.0013993539995646041
RARA,148.0,-0.16905603318873966,0.6003363132476807,178367.47294549525,0.0003502117306108428,-22.025303692669066,15.50031648383897,64094.491027513985,536644550637.5394,1.1943565056492056e-07
RBFOX2,9.0,0.3617857158146914,0.22809678316116333,127698.00835891298,0.0005444705014110582,1.17357910949127,16.30126954248414,2424.763470840261,6787365428.179668,3.5724663663653194e-07
RBPJ,24.0,-0.17934438021566895,0.6431679725646973,246619.19871562993,0.00023573586989308128,-30.532753980176885,10.92835908934653,12760.189037900967,180369507913.10223,7.074471281503149e-08
RCOR2,81.0,-0.5371020622255898,0.7591071873903275,1.932812759896695,5.403512569219101,-168.38597022325146,-25.823146787948073,266351.7744803445,563766.3855123917,0.4724506130997234
RNF2,23.0,-0.41419925252566314,0.8832067847251892,116159.49235670707,0.0003864686898559575,-32.98312403767552,8.942013525937828,7837.7135400423485,147140078417.89996,5.326702027289983e-08
SHOC2,4.0,-0.5263475795499069,0.5500709414482117,118239.15313500009,0.00035578452649485926,-37.15770621506248,3.818329402776855,411.7465653630626,30428047196.70072,1.353181039523653e-08
SMAD3,44.0,-0.07502235751716062,0.7590521275997162,184625.29368678175,0.0002615118453111413,-10.277362848759166,16.996843712371756,27263.5641608837,192551684306.2742,1.4159088900784719e-07
SMAD4,33.0,-0.44888458454529945,0.7013318538665771,50.87867306107409,1.646956613474289,-162.61381196693657,-11.382774167331094,138718.08212279956,327190.5414147497,0.42396727461311073
SMAD5,20.0,-0.4628617180530856,0.8665916323661804,209127.71252200028,0.0005229880712286922,-98.198971681879,8.65235527549645,24945.813733072915,484302125718.5469,5.1508784307030324e-08
SMAD6,41.0,-0.2660323255077945,0.3365548849105835,98090.98837651599,0.0005544544087668527,-33.44389344580424,5.672893461397046,4814.726070822876,24599917833.474197,1.957212257136593e-07
SMARCA4,24.0,-0.7125048473137192,0.6547858268022537,162.7360010483327,0.8073943731911202,-215.81881290622758,-19.931096163926217,38116.64116237113,276997.3588739317,0.13760651479611744
SOX11,33.0,-0.24183656332949655,0.7776879891753197,2649.378963195208,0.13492722350398395,-314.10426428016444,31.042524476644488,2702326.5616657194,64198547.81290299,0.042093266183235854
SOX4,39.0,-0.5437475632410051,0.576592206954956,300374.41562049405,0.00036220821571589495,-81.42003933809612,12.237093919073446,24188.47482367569,517375661346.36633,4.675224721767939e-08
TAF5L,29.0,-0.360209431664009,0.673754021525383,110237.08625386981,0.00044151782626834763,-33.04810396523097,7.459988227119847,7997.837784665177,61567715088.54149,1.299031119339635e-07
