,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
MEF2D,5.0,0.5459543419114102,0.25910881283258597,90253.79996543658,0.0003175902095680593,-24.283408126124773,4.002477389150879,626.5414520748207,33566860207.41967,1.866547684839254e-08
MEIS1,6.0,0.5342403872243138,0.5911850899856875,422495.8267392285,0.0002617309391497348,-61.4334161703729,34.23139298017418,6577.948835801321,480223847200.12805,1.3697672187987017e-08
MLLT10,5.0,-0.35955666579255463,0.4613800871652666,96377.33084541303,0.0004683217044975589,-40.662079547431176,2.7909085456774867,701.2478636215053,16771492485.69301,4.181189385617933e-08
MTF1,4.0,-0.47973845014412403,0.3602479917438667,15319.288984650813,0.0015475764437295357,-23.45993401821202,0.22798950616619246,196.68253627410058,670341081.8548285,2.934066575927013e-07
MTF2,6.0,0.3272567914482555,0.23834126401677563,102960.04674645109,0.00040227034019066555,-35.93203012521734,4.732192572820757,1508.8117117135728,46746037885.745895,3.2276782802455425e-08
MYCN,7.0,-0.3315462676903087,0.7693782552040478,310601.8245989112,0.00022456196404003874,-39.019153702936926,15.579923918345713,3233.274375758385,116998375641.6849,2.7635207395190655e-08
MYRF,6.0,0.4742008387830111,0.6632981517690719,182792.5357226235,0.0004145655496445531,-20.208734190003852,34.91359516727356,7706.989938805871,69505365655.87088,1.1088338096031422e-07
NFX1,6.0,0.2389821346804895,0.6211751508022695,215778.1680739951,0.00020560227777370894,-20.568886315367124,20.563832049755757,4574.769179850412,188564035199.9018,2.4261090801332165e-08
NOTCH2,4.0,-0.9181899661547308,0.6656711666539858,208.46757398636336,0.2458343262689987,-61.42863083149144,-3.3470134233248303,317.17228810748776,135491.30812665602,0.0023409050550386454
NR3C1,5.0,-0.02106690575183473,0.8215926782724435,92020.13480704727,0.00031903121464986375,-15.493533318289797,11.435246335751462,1217.2915393155617,23377533752.423756,5.207099911423951e-08
OVOL2,5.0,-0.4277456622458501,0.4249044892004798,1.4690078072451138,3.1117875855843384,-33.93125994524687,-3.6344171477160057,2092.272996932269,5699.721611926882,0.3670833664146173
PCGF2,9.0,-0.583001924722496,0.9232779617771364,1.5445918210767232e-05,16.479868658999543,-37.95123900002594,5.27530988164077,1591.7833578337454,5147.309015884475,0.3092457346006504
PCGF6,5.0,-0.7521049507831329,0.334718250939648,3.689806859848807,3.720448128995297,-137.50392584515447,-16.650894317782786,5390.078168690594,62493.602840316205,0.0862500787874774
